participant, training, transfer, similarity, ntrans
AWCO7MG0BHSTQ,aaaabababababab,bbaaabbaaabbaaa,4,10
A3843S9LWPDN2K,aaaabababababab,bbaaabbaaabbaaa,1,10
A4J4GGMKJ68L0,aaaabababababab,bbaaabbaaabbaaa,4,10
A2CHDWKAYZ3P3E,aaaabababababab,bbaaabbaaabbaaa,4,10
A2CHDWKAYZ3P3E,aaaabababababab,bbaaabbaaabbaaa,1,10
A1MYDAL453CN5Q,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A1DKVUTOBPQH11,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A109MLAWERUIBG,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A21ZMR7O42OSMI,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A2TBXASXZIRNNW,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A340UGIDGIF4W6,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A1G187YBG0DVMQ,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A3QEVFM3UD67BA,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A1U6A617Q95MTZ,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A1U6A617Q95MTZ,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A8TK3JACM5EM,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A8TK3JACM5EM,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,4,8
A1ZB2NY0F9QNP0,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,1,8
A2DXSHR0ZWHIYD,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A2YVC1U50H2B4R,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A2YVC1U50H2B4R,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,2,8
A3KVNVHIYT3JI8,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,4,8
A3PC7DYXJW4I2Z,bbbbaaaaaaaaaaa,bbaaabbaaabbaaa,4,8
A3W24IE6P9O302,aaaabababababab,baabaaabaaaabaa,4,9
A1G187YBG0DVMQ,aaaabababababab,baabaaabaaaabaa,4,9
A7KLTVEIASF4J,aaaabababababab,baabaaabaaaabaa,2,9
A3FJE9AUW0O41D,aaaabababababab,baabaaabaaaabaa,2,9
A3FJE9AUW0O41D,aaaabababababab,baabaaabaaaabaa,2,9
A1U6A617Q95MTZ,aaaabababababab,baabaaabaaaabaa,4,9
A2LRC60NMMJHEW,aaaabababababab,baabaaabaaaabaa,2,9
A1ZB2NY0F9QNP0,aaaabababababab,baabaaabaaaabaa,1,9
A1ZB2NY0F9QNP0,aaaabababababab,baabaaabaaaabaa,2,9
A1WOV2JIV5I9VE,aaaabababababab,baabaaabaaaabaa,3,9
A3K2VLUT3MU9H2,aaaabababababab,baabaaabaaaabaa,2,9
A3RHGIM99R25Q9,aaaabababababab,baabaaabaaaabaa,4,9
AWCO7MG0BHSTQ,aaaabababababab,baabaaabaaaabaa,1,9
A32QJF67JMJFKX,aaaabababababab,baabaaabaaaabaa,2,9
A4J4GGMKJ68L0,aaaabababababab,baabaaabaaaabaa,2,9
A21ZMR7O42OSMI,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A1OZPLHNIU1519,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A39YBLQYIUBR76,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A340UGIDGIF4W6,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A7KLTVEIASF4J,bbbbaaaaaaaaaaa,baabaaabaaaabaa,3,8
A3MD34XEB4H6JF,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A1X84T4EFW04GZ,bbbbaaaaaaaaaaa,baabaaabaaaabaa,4,8
AA7ASGQEOMKEZ,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A38TZK07ON180S,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A38TZK07ON180S,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A1S3KHENQOCCVE,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A1F1OZ54G177D8,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A1F1OZ54G177D8,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A4J4GGMKJ68L0,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
