consistent, condition, timestep, subject, correct, which
0, abaabaaabaaaaba, 9, 11, 1, 1
0, bbaaabbaaabbaaa, 10, 11, 1, 0
0, abaabaaabaaaaba, 10, 11, 1, 1
0, bbaaabbaaabbaaa, 11, 11, 1, 0
0, abaabaaabaaaaba, 11, 11, 1, 1
0, bbaaabbaaabbaaa, 12, 11, 1, 0
0, abaabaaabaaaaba, 12, 11, 1, 1
0, bbaaabbaaabbaaa, 13, 11, 1, 0
0, abaabaaabaaaaba, 13, 11, 1, 1
0, bbaaabbaaabbaaa, 14, 11, 1, 0
0, abaabaaabaaaaba, 14, 11, 1, 1
0, bbaaabbaaabbaaa, 0, 12, 1, 0
0, abaabaaabaaaaba, 0, 12, 0, 1
0, bbaaabbaaabbaaa, 1, 12, 1, 0
0, abaabaaabaaaaba, 1, 12, 1, 1
0, bbaaabbaaabbaaa, 2, 12, 0, 0
0, abaabaaabaaaaba, 2, 12, 0, 1
0, bbaaabbaaabbaaa, 3, 12, 0, 0
0, abaabaaabaaaaba, 3, 12, 0, 1
0, bbaaabbaaabbaaa, 4, 12, 0, 0
0, abaabaaabaaaaba, 4, 12, 1, 1
0, bbaaabbaaabbaaa, 5, 12, 1, 0
0, abaabaaabaaaaba, 5, 12, 1, 1
0, bbaaabbaaabbaaa, 6, 12, 1, 0
0, abaabaaabaaaaba, 6, 12, 1, 1
0, bbaaabbaaabbaaa, 7, 12, 0, 0
0, abaabaaabaaaaba, 7, 12, 1, 1
0, bbaaabbaaabbaaa, 8, 12, 1, 0
0, abaabaaabaaaaba, 8, 12, 1, 1
0, bbaaabbaaabbaaa, 9, 12, 1, 0
0, abaabaaabaaaaba, 9, 12, 1, 1
0, bbaaabbaaabbaaa, 10, 12, 0, 0
0, abaabaaabaaaaba, 10, 12, 1, 1
0, bbaaabbaaabbaaa, 11, 12, 1, 0
0, abaabaaabaaaaba, 11, 12, 1, 1
0, bbaaabbaaabbaaa, 12, 12, 1, 0
0, abaabaaabaaaaba, 12, 12, 1, 1
0, bbaaabbaaabbaaa, 13, 12, 1, 0
0, abaabaaabaaaaba, 13, 12, 1, 1
0, bbaaabbaaabbaaa, 14, 12, 1, 0
0, abaabaaabaaaaba, 14, 12, 1, 1
0, bbaaabbaaabbaaa, 0, 13, 1, 0
0, abaabaaabaaaaba, 0, 13, 0, 1
0, bbaaabbaaabbaaa, 1, 13, 1, 0
0, abaabaaabaaaaba, 1, 13, 0, 1
0, bbaaabbaaabbaaa, 2, 13, 0, 0
0, abaabaaabaaaaba, 2, 13, 1, 1
0, bbaaabbaaabbaaa, 3, 13, 1, 0
0, abaabaaabaaaaba, 3, 13, 0, 1
0, bbaaabbaaabbaaa, 4, 13, 0, 0
0, abaabaaabaaaaba, 4, 13, 1, 1
0, bbaaabbaaabbaaa, 5, 13, 0, 0
0, abaabaaabaaaaba, 5, 13, 0, 1
0, bbaaabbaaabbaaa, 6, 13, 0, 0
0, abaabaaabaaaaba, 6, 13, 1, 1
0, bbaaabbaaabbaaa, 7, 13, 1, 0
0, abaabaaabaaaaba, 7, 13, 1, 1
0, bbaaabbaaabbaaa, 8, 13, 0, 0
0, abaabaaabaaaaba, 8, 13, 1, 1
0, bbaaabbaaabbaaa, 9, 13, 1, 0
0, abaabaaabaaaaba, 9, 13, 1, 1
0, bbaaabbaaabbaaa, 10, 13, 1, 0
0, abaabaaabaaaaba, 10, 13, 1, 1
0, bbaaabbaaabbaaa, 11, 13, 0, 0
0, abaabaaabaaaaba, 11, 13, 1, 1
0, bbaaabbaaabbaaa, 12, 13, 0, 0
0, abaabaaabaaaaba, 12, 13, 0, 1
0, bbaaabbaaabbaaa, 13, 13, 1, 0
0, abaabaaabaaaaba, 13, 13, 1, 1
0, bbaaabbaaabbaaa, 14, 13, 1, 0
0, abaabaaabaaaaba, 14, 13, 1, 1
0, bbaaabbaaabbaaa, 0, 14, 0, 0
0, abaabaaabaaaaba, 0, 14, 0, 1
0, bbaaabbaaabbaaa, 1, 14, 1, 0
0, abaabaaabaaaaba, 1, 14, 0, 1
0, bbaaabbaaabbaaa, 2, 14, 1, 0
0, abaabaaabaaaaba, 2, 14, 0, 1
0, bbaaabbaaabbaaa, 3, 14, 1, 0
0, abaabaaabaaaaba, 3, 14, 0, 1
